,edad,AniosDireccion,Gastocoche,Aniosempleo,Aniosresiden,ingres
5241,29,1,23.6,2,3,49
4986,56,13,68.5,35,1,138
1059,23,2,35.1,0,3,70
3062,40,12,47.800000000000004,3,1,94
1981,40,14,11.8,6,2,24
1523,30,9,7.4,0,4,15
5752,41,19,13.100000000000001,9,1,26
5097,21,0,6.300000000000001,0,2,13
705,49,22,41.7,17,1,84
4379,55,10,79.7,29,2,159
5305,44,1,17.6,8,1,36
4543,47,23,44.1,16,1,88
2835,43,4,16.7,15,1,33
5101,56,3,14.9,0,2,30
2995,43,8,98.5,16,1,195
975,61,15,74.1,35,2,260
1566,34,10,14.5,4,4,29
803,34,15,14.100000000000001,10,4,28
1767,52,5,67.8,29,1,323
3804,48,6,36.800000000000004,2,1,73
3158,70,26,24.8,19,1,49
2531,49,3,21.200000000000003,9,2,43
2465,66,7,17.900000000000002,5,1,36
854,37,2,11.100000000000001,1,1,23
1199,46,19,24.3,12,1,49
4510,53,30,51.900000000000006,23,1,105
4882,31,5,21.6,11,5,44
2346,51,19,87.7,29,4,349
1101,57,31,29.700000000000003,5,1,59
3822,42,4,11.700000000000001,1,2,24
480,39,8,17.5,16,1,35
595,61,28,6.9,31,4,14
5385,41,9,30.0,5,2,58
1151,40,8,12.3,6,4,24
4607,33,9,17.400000000000002,2,1,34
2345,42,13,34.1,16,4,69
3101,24,3,28.400000000000002,0,4,59
1937,38,1,20.5,6,1,42
2584,37,7,20.900000000000002,13,3,42
2442,24,2,11.9,1,1,23
1019,40,18,22.8,12,5,46
4741,25,2,12.8,2,1,25
721,56,33,4.800000000000001,20,1,10
1152,20,0,16.6,0,1,34
5671,37,2,12.200000000000001,9,2,24
2124,34,13,24.8,3,4,49
1754,45,24,37.0,9,1,75
5149,22,3,11.0,4,1,22
2159,59,29,13.700000000000001,8,1,27
513,26,1,11.700000000000001,10,5,23
3412,23,3,21.400000000000002,0,4,43
3500,57,9,47.5,6,1,96
1126,44,18,29.1,18,2,59
2011,63,1,19.200000000000003,13,1,40
894,36,5,23.400000000000002,5,1,46
2155,35,16,52.300000000000004,3,4,108
983,45,20,65.5,25,4,319
3653,58,0,5.9,3,5,12
4138,44,25,85.60000000000001,16,3,168
3377,28,4,10.100000000000001,3,1,20
2008,59,19,16.900000000000002,7,1,34
5167,32,8,18.2,7,1,36
3044,32,2,51.5,4,1,103
4496,33,6,32.7,11,7,65
180,32,8,11.600000000000001,5,1,23
3418,53,25,45.900000000000006,15,1,90
1501,50,22,18.3,6,2,37
2651,21,2,11.200000000000001,2,4,22
2741,25,5,12.4,0,3,25
3265,38,14,46.300000000000004,8,3,91
5384,46,27,14.9,1,1,30
483,65,35,28.6,38,1,58
2056,39,18,43.0,13,3,85
3274,24,5,10.200000000000001,2,1,21
2867,49,0,22.3,13,2,44
3,45,13,13.3,4,1,27
5582,25,4,8.4,1,3,17
1303,34,6,21.3,8,2,42
3444,48,23,93.80000000000001,26,1,189
4605,54,6,10.200000000000001,4,3,21
860,32,11,17.3,1,2,34
821,67,12,39.1,36,1,78
4793,39,4,24.1,1,1,48
167,41,2,30.8,21,5,62
484,28,3,11.600000000000001,0,4,24
2535,40,5,74.0,2,1,245
2975,58,31,78.9,29,2,237
3757,54,2,65.60000000000001,19,1,133
4002,35,2,63.900000000000006,4,1,127
2625,30,3,19.0,6,3,38
2163,39,5,23.1,12,1,47
2482,46,3,49.0,12,2,97
4725,34,9,52.6,11,4,107
999,51,12,12.3,14,1,25
2235,51,22,77.9,32,2,291
20,59,1,69.3,38,1,309
1316,54,25,35.0,15,1,72
718,47,17,42.1,3,3,88
1111,53,12,9.3,0,1,19
1228,37,13,31.0,19,4,62
3182,34,11,18.0,12,1,35
4434,45,15,54.300000000000004,11,4,110
4534,36,3,19.6,13,1,41
3696,29,8,15.100000000000001,5,4,30
1125,37,6,15.4,8,2,31
4537,48,24,31.1,8,1,64
5409,32,3,19.3,3,5,39
3016,29,3,11.100000000000001,5,5,23
4990,29,6,10.4,6,5,22
4199,43,0,29.400000000000002,23,1,60
4179,50,9,37.5,7,1,75
3866,30,7,18.7,10,1,38
1719,60,38,29.700000000000003,17,1,60
1442,47,7,70.10000000000001,23,1,143
346,39,2,24.700000000000003,18,2,49
2305,30,2,9.3,3,2,20
2748,30,2,53.400000000000006,6,6,107
4838,29,6,18.8,3,2,38
21,23,0,9.700000000000001,1,5,20
4467,43,6,33.9,20,4,66
3883,38,3,13.5,8,5,27
5279,55,0,17.3,7,2,35
4643,47,11,53.6,22,3,107
1498,34,12,32.7,0,4,66
2926,38,12,18.900000000000002,12,1,39
2277,26,4,11.200000000000001,1,1,23
2980,60,22,87.7,28,1,404
4876,27,1,13.0,7,1,25
209,39,15,36.2,10,5,73
5540,65,38,8.9,4,2,18
3107,59,32,74.2,36,1,211
5726,52,0,76.9,32,1,244
2207,37,11,15.9,11,1,32
2199,36,4,19.3,14,3,39
3035,59,19,24.8,15,2,50
5730,60,15,79.3,44,2,372
4579,58,2,55.5,18,2,111
5743,27,8,22.6,1,4,45
90,52,31,49.2,28,1,96
1120,53,15,73.7,33,1,222
3166,28,5,17.1,8,1,34
823,53,0,10.3,3,1,21
2499,36,1,29.400000000000002,9,6,56
361,54,34,73.7,36,3,470
2813,30,9,55.400000000000006,2,4,113
1256,37,1,28.900000000000002,1,1,57
4191,45,16,33.6,3,4,67
3456,41,6,48.300000000000004,5,1,95
4822,24,1,8.8,0,2,18
66,42,21,68.0,18,1,215
4811,39,7,14.600000000000001,5,1,30
5436,38,12,35.1,9,5,69
731,20,0,9.600000000000001,1,8,19
2593,61,20,48.900000000000006,19,1,96
2216,61,29,72.6,40,1,292
578,54,10,74.4,35,1,149
3971,41,7,14.4,7,1,29
2204,32,5,18.6,7,3,38
5319,39,5,18.900000000000002,21,2,38
738,55,29,43.800000000000004,19,1,89
3525,62,9,76.5,43,1,558
2241,41,21,18.3,1,2,38
3746,37,6,32.300000000000004,8,3,66
460,26,4,37.300000000000004,0,2,74
565,40,13,29.400000000000002,3,2,61
4042,35,3,18.900000000000002,15,2,38
1153,54,23,19.1,13,1,38
1696,41,10,36.1,5,2,71
2389,48,20,9.5,7,1,19
2223,37,7,29.400000000000002,10,2,58
1702,36,12,25.700000000000003,13,1,51
1093,35,3,17.900000000000002,11,2,36
4539,50,8,30.6,10,1,61
2484,53,24,62.2,7,2,125
2692,21,1,12.0,0,1,24
3711,42,1,17.8,8,3,35
2067,69,46,74.60000000000001,32,1,148
1107,45,22,70.3,14,2,139
3157,52,9,13.5,1,5,27
4491,30,9,18.6,9,1,37
5563,21,1,16.1,2,5,32
3680,52,25,14.0,3,1,29
2850,29,4,46.900000000000006,4,1,95
1275,30,10,12.600000000000001,0,1,25
445,64,25,13.4,14,1,27
4984,38,0,19.900000000000002,5,1,40
2863,54,30,57.400000000000006,21,1,118
1262,28,6,16.7,3,1,34
3015,36,13,7.4,4,1,15
3237,44,19,22.8,7,1,45
3834,46,9,43.400000000000006,11,1,87
1068,38,7,19.200000000000003,15,5,40
5249,73,14,4.5,7,2,9
4625,29,0,32.800000000000004,5,4,66
5089,36,17,20.8,15,2,42
1549,46,10,68.1,20,1,205
2439,47,7,68.9,15,1,138
3519,42,16,75.2,18,2,148
4227,53,21,30.5,23,1,60
3445,42,3,28.6,3,1,59
3473,31,1,11.0,3,3,22
4555,46,16,22.3,0,1,45
3732,55,2,38.7,18,2,78
5593,27,3,20.3,9,5,41
2989,61,22,28.5,11,1,57
2940,27,6,13.3,2,3,27
1781,46,25,23.6,11,5,49
4663,46,21,32.300000000000004,8,3,65
5678,37,1,15.0,3,4,29
1217,40,19,45.800000000000004,1,2,90
3013,63,8,9.4,31,2,19
3964,31,0,23.1,5,1,45
2735,40,3,71.3,17,5,423
2330,61,27,5.2,12,1,11
434,55,2,64.60000000000001,29,4,129
1799,39,18,22.0,11,2,44
529,38,12,19.3,3,2,40
584,45,21,56.1,26,4,110
4794,19,0,13.100000000000001,0,4,26
3742,19,0,9.9,0,1,20
1283,44,24,13.9,0,1,27
3563,57,35,78.3,36,1,278
199,26,2,10.700000000000001,7,1,22
125,29,3,15.200000000000001,3,5,30
732,41,5,35.9,13,2,73
3246,45,12,57.400000000000006,27,5,115
2332,26,4,10.700000000000001,1,2,22
5308,37,15,18.6,0,2,38
3937,33,12,30.1,1,4,62
183,47,18,23.200000000000003,9,2,46
3912,38,2,10.700000000000001,6,1,23
1519,56,30,81.1,38,1,335
3943,24,0,7.800000000000001,1,3,16
2856,38,8,15.200000000000001,0,2,30
5267,50,26,41.5,22,1,82
1023,23,3,9.5,3,4,19
4305,58,0,15.200000000000001,12,1,30
5222,47,13,64.8,24,1,129
5463,51,9,41.0,4,1,85
3247,42,20,85.5,6,1,170
4750,31,11,20.5,8,6,40
580,56,1,8.4,2,2,17
904,62,12,29.700000000000003,41,2,59
5664,48,4,76.4,18,6,233
3645,36,17,9.8,4,2,20
1775,32,13,35.0,10,4,70
5740,22,0,12.100000000000001,0,4,25
858,30,9,12.9,3,1,26
5297,36,2,16.6,15,1,33
3805,42,0,16.5,4,1,33
1259,35,11,63.2,7,2,127
1796,40,14,25.200000000000003,4,4,51
4988,41,5,67.3,16,2,133
1515,54,32,76.8,36,2,203
1177,22,3,13.700000000000001,3,5,27
4978,39,4,75.4,7,1,152
4132,66,29,11.200000000000001,4,1,22
3319,51,32,73.9,26,1,146
4344,52,7,20.1,9,3,40
692,50,26,20.5,6,4,42
3997,65,4,12.5,25,1,25
1404,35,8,34.1,9,3,70
1223,51,20,53.1,19,2,109
4623,59,16,19.400000000000002,8,2,38
3116,38,12,10.5,11,2,22
1094,32,8,21.0,7,1,43
249,53,30,14.0,3,2,27
1065,30,11,13.200000000000001,0,1,26
2476,46,19,41.800000000000004,14,1,83
2862,29,10,19.8,7,4,40
3206,49,19,15.3,8,4,31
1701,53,16,39.300000000000004,27,1,79
5553,30,2,12.600000000000001,5,2,25
1530,30,3,11.9,0,5,24
1015,37,2,18.6,9,4,38
799,57,31,51.0,15,1,102
5738,71,13,74.4,46,1,557
470,24,0,9.3,8,5,19
1710,69,34,10.700000000000001,1,1,21
5274,37,17,33.800000000000004,4,3,67
4312,70,43,5.5,36,2,11
3940,61,39,10.200000000000001,32,1,21
3719,43,9,51.6,24,6,105
3224,51,14,28.200000000000003,23,1,57
772,53,13,64.7,26,1,129
4118,48,29,72.7,14,1,144
1604,52,31,31.200000000000003,17,2,60
3552,44,20,33.0,18,1,66
163,48,6,19.200000000000003,12,4,39
3391,43,19,37.0,12,1,74
2095,45,23,12.5,7,4,26
5093,26,6,11.4,2,4,23
4295,40,20,30.900000000000002,22,4,62
3287,42,10,22.200000000000003,17,3,46
3758,45,3,57.1,11,2,118
3580,46,12,19.700000000000003,6,1,41
4209,55,1,77.6,27,3,345
4137,41,2,25.1,0,1,50
909,30,3,10.600000000000001,2,4,21
2724,42,9,24.5,12,3,49
2054,45,0,11.600000000000001,8,5,23
1844,23,3,13.700000000000001,0,1,27
5418,33,10,17.6,10,5,36
5000,35,9,9.4,0,5,19
4349,41,3,31.5,15,2,63
1397,45,2,37.5,14,1,74
4048,46,2,22.700000000000003,5,3,46
2528,27,3,27.3,6,7,55
2536,24,1,13.8,5,3,27
4340,50,5,40.6,16,2,84
5192,30,6,14.4,7,5,29
2512,58,17,10.3,10,4,21
3908,58,14,22.1,6,2,43
3495,27,7,16.2,3,3,33
1050,34,12,16.2,8,2,33
1903,40,0,47.1,22,4,93
4071,43,5,15.9,8,4,32
2759,29,7,12.8,2,3,26
2986,42,12,41.5,20,1,83
2558,24,4,24.5,4,1,48
237,55,33,38.300000000000004,10,4,76
5084,41,2,31.6,20,3,63
1572,23,0,15.700000000000001,1,1,32
3052,36,15,28.0,9,7,59
2108,48,0,19.200000000000003,3,1,38
2761,46,18,57.1,19,1,114
5430,40,20,10.600000000000001,8,2,21
3014,33,12,13.700000000000001,3,6,27
1078,39,14,48.800000000000004,18,1,101
4834,28,6,20.8,2,1,41
4594,54,2,30.6,4,4,64
5128,37,1,19.200000000000003,14,1,38
3372,62,6,31.6,13,2,63
1200,41,13,12.600000000000001,3,3,25
4707,29,3,15.5,3,1,31
4347,40,19,9.0,8,4,18
3869,54,28,10.700000000000001,1,5,22
1817,42,7,34.6,23,3,71
3522,35,16,33.1,12,4,66
863,52,2,15.5,6,1,31
3118,39,13,13.600000000000001,9,2,28
5702,63,12,13.700000000000001,5,1,28
98,33,3,12.0,3,1,24
4068,43,16,33.800000000000004,15,1,68
1634,49,15,9.3,2,2,20
3823,62,32,20.1,12,2,40
796,40,19,18.2,2,3,37
1027,34,11,13.100000000000001,0,3,26
3378,21,0,6.4,0,1,13
2788,31,1,12.0,5,6,25
4546,47,8,22.0,6,2,43
482,25,6,13.0,0,6,26
1805,45,12,72.60000000000001,25,2,144
200,34,1,31.200000000000003,7,1,62
1225,35,7,19.5,10,3,41
320,53,29,54.6,19,4,111
1163,40,8,17.2,10,1,34
5355,52,23,50.0,22,2,98
1978,56,25,83.80000000000001,18,3,163
4885,36,8,25.900000000000002,7,1,50
4704,45,14,11.100000000000001,0,2,22
932,35,10,21.200000000000003,17,3,43
3832,74,3,51.400000000000006,30,2,103
1055,56,30,22.900000000000002,9,1,47
5627,39,1,28.1,13,3,54
2547,51,16,39.900000000000006,7,1,80
2211,38,9,14.5,10,1,30
759,38,5,43.300000000000004,16,6,83
2212,48,3,51.400000000000006,21,1,102
3164,57,20,72.8,16,1,148
1689,50,21,23.200000000000003,15,1,47
5193,43,3,74.4,24,1,218
4969,28,0,18.2,9,4,36
2383,26,1,8.9,1,2,18
1322,49,21,48.400000000000006,17,4,94
4458,46,10,66.60000000000001,16,3,133
1703,43,2,31.1,8,2,64
2638,51,29,43.300000000000004,12,1,86
2375,40,6,58.900000000000006,23,1,120
2180,42,0,42.400000000000006,12,1,85
5569,40,15,23.3,4,1,47
2696,33,13,20.5,10,1,40
2907,48,8,42.2,15,1,86
389,56,35,18.1,5,1,37
1004,33,0,20.8,2,4,42
4263,58,29,16.0,9,2,32
785,35,0,10.5,0,2,21
2670,40,7,76.9,18,1,300
2057,22,0,6.9,0,2,14
3176,31,9,21.3,0,4,40
4800,36,12,15.100000000000001,2,1,30
2502,54,35,81.5,21,2,349
2467,29,0,16.3,7,2,33
3727,41,15,49.900000000000006,16,1,99
4160,24,4,12.600000000000001,0,4,26
4861,53,17,41.0,24,2,83
593,44,24,18.2,1,1,37
1576,34,0,28.6,9,4,56
4907,58,1,72.4,27,1,263
4598,20,1,10.4,0,5,21
4746,44,9,63.6,13,2,126
4957,48,25,60.900000000000006,18,6,123
5041,34,9,14.9,12,2,30
3699,52,26,29.700000000000003,3,2,59
4357,42,1,59.900000000000006,2,4,120
2497,30,8,14.3,2,3,28
3578,68,21,71.7,48,2,433
3833,55,2,45.7,14,1,92
5618,33,14,21.700000000000003,11,1,43
3553,31,3,24.0,2,5,49
1821,54,26,34.4,14,1,69
3048,57,4,57.900000000000006,32,2,115
3295,36,4,13.3,5,2,28
740,37,4,15.0,0,3,30
960,54,34,20.6,11,1,42
1156,33,13,19.400000000000002,14,1,39
131,38,12,21.700000000000003,2,3,44
2471,49,15,23.0,16,4,45
2317,66,36,35.2,33,1,71
528,34,1,14.600000000000001,2,2,30
2472,36,6,17.0,14,6,34
1560,26,0,9.5,5,4,19
5609,36,12,38.900000000000006,8,5,79
3906,31,10,24.200000000000003,12,1,48
3026,40,10,21.3,6,1,43
3720,20,0,7.1000000000000005,0,3,14
3890,49,12,49.0,30,1,99
995,37,14,23.0,1,1,45
852,34,10,10.0,0,1,20
3895,54,12,32.0,2,3,65
2386,59,24,8.9,37,2,18
2509,48,19,11.4,7,2,23
2246,59,36,16.400000000000002,9,2,33
3277,44,19,11.5,5,2,24
242,21,0,9.1,0,4,18
1709,56,10,48.800000000000004,23,3,94
267,31,3,26.3,3,2,53
1890,21,2,13.4,0,2,26
4352,60,4,60.7,12,2,122
5547,50,11,37.800000000000004,15,1,73
4162,40,5,28.5,4,1,57
4640,70,41,78.5,35,4,332
5013,34,4,25.400000000000002,4,8,50
3646,24,2,17.8,2,2,36
1823,39,20,15.700000000000001,1,4,32
2579,37,9,31.700000000000003,19,2,61
5578,36,7,71.3,5,1,144
1567,40,10,26.1,17,6,52
5351,33,5,26.200000000000003,0,1,52
629,49,6,25.900000000000002,4,2,53
3614,57,26,8.4,9,1,17
4316,37,9,8.4,6,1,17
3408,23,3,6.9,0,4,14
3590,54,14,31.700000000000003,11,2,64
3876,38,18,25.3,20,1,49
3156,56,5,22.700000000000003,10,2,46
2803,35,11,10.600000000000001,3,1,22
1008,65,28,81.2,39,5,282
1292,37,5,17.5,7,4,35
4039,56,28,9.5,5,1,19
5221,50,10,81.6,14,1,253
1172,26,6,13.0,3,1,25
5391,56,24,75.0,22,2,151
462,52,29,18.0,1,2,36
5417,21,1,12.9,5,6,25
4507,45,5,63.7,9,4,128
4477,39,4,18.2,3,3,37
5477,51,18,53.1,3,1,110
723,48,27,75.5,22,3,261
787,43,13,33.2,17,1,67
287,66,23,46.2,21,1,92
3840,56,34,77.5,32,2,268
865,59,8,70.0,33,1,822
1425,45,3,17.6,9,1,35
928,30,7,17.900000000000002,2,3,36
5228,61,12,60.400000000000006,5,3,117
5282,18,0,12.0,0,2,24
2315,35,1,32.9,14,3,65
3312,26,5,11.700000000000001,2,1,23
5204,37,18,34.2,15,1,68
2808,56,34,64.9,35,1,376
3755,73,38,21.200000000000003,29,3,44
4942,54,8,23.900000000000002,7,1,47
1875,24,0,11.200000000000001,3,5,23
1772,56,0,14.200000000000001,11,3,29
5758,25,6,13.4,1,1,27
2955,25,6,21.3,2,1,43
2089,34,4,17.5,8,2,35
1421,50,15,22.5,1,1,45
4401,31,3,19.200000000000003,4,1,38
144,34,10,19.6,11,1,39
2648,38,5,17.3,8,2,35
3132,28,5,14.0,12,1,28
5639,47,15,35.0,25,2,69
4484,49,22,15.200000000000001,5,1,29
2533,22,2,19.1,0,4,37
3717,43,4,63.6,10,2,128
2430,29,2,17.3,3,3,34
1846,27,8,14.8,0,5,31
408,63,24,45.0,19,3,90
4706,37,6,13.600000000000001,0,3,27
3455,48,29,9.600000000000001,0,3,19
3179,36,6,28.1,10,1,56
3134,19,0,14.600000000000001,0,4,29
5120,46,7,48.7,20,2,98
1352,36,1,12.700000000000001,1,6,26
305,43,19,53.6,11,2,107
4337,27,8,16.6,4,5,34
1137,37,5,20.5,12,2,42
5012,50,8,39.1,10,1,80
5328,34,2,13.200000000000001,0,3,26
5749,25,4,12.4,8,4,25
801,19,0,6.9,0,3,14
2776,67,10,5.5,5,1,11
586,38,16,33.7,9,1,67
1393,69,0,12.200000000000001,20,3,24
2210,39,9,16.3,1,4,33
190,36,6,67.5,12,3,137
5098,60,0,18.400000000000002,24,2,37
4066,35,1,74.0,10,1,350
3305,32,9,19.1,3,7,39
3149,55,35,28.5,29,1,55
1474,35,11,58.6,5,1,116
3325,51,18,57.900000000000006,13,1,115
4687,67,23,73.4,40,1,146
3202,32,12,9.0,4,3,18
5405,51,27,31.400000000000002,18,2,63
2254,33,13,36.300000000000004,14,2,71
192,44,24,15.8,3,1,32
2404,62,11,11.9,19,1,23
4635,52,31,51.300000000000004,27,1,103
3425,43,4,28.400000000000002,5,4,58
5051,37,10,18.6,8,1,37
4921,44,15,13.3,11,1,27
4490,34,10,23.5,12,1,47
428,47,25,14.9,3,2,30
4509,36,8,9.0,4,2,18
5163,41,10,54.2,10,1,109
2632,33,9,69.6,5,1,278
375,21,2,16.7,1,4,33
2713,31,6,15.100000000000001,0,1,30
3267,37,7,47.800000000000004,5,1,96
3290,26,1,11.0,6,2,22
2251,32,5,9.5,3,1,19
920,46,25,35.1,14,1,71
4689,50,14,9.9,3,1,20
3773,35,10,9.700000000000001,8,1,21
4857,54,2,23.700000000000003,11,3,48
3475,67,3,11.200000000000001,28,1,22
1427,61,14,47.6,8,2,96
2024,57,29,45.5,11,2,92
4173,58,38,29.6,15,1,58
3681,29,9,22.900000000000002,3,4,47
4832,35,10,17.1,14,1,35
2160,33,1,19.1,7,2,39
4784,42,19,35.1,0,3,72
927,49,29,82.10000000000001,15,2,167
5311,37,15,26.700000000000003,12,3,53
5505,29,2,13.5,1,1,28
5313,54,21,76.2,24,1,314
3865,46,14,54.0,16,1,109
117,33,8,52.7,10,3,106
1900,40,6,19.3,0,3,38
3025,45,22,17.3,7,1,35
4871,60,14,73.5,32,1,147
653,43,6,12.600000000000001,1,1,25
2252,65,32,4.4,3,2,9
3679,47,13,19.6,12,4,40
1344,40,16,20.900000000000002,9,5,41
2247,50,23,53.300000000000004,19,4,107
4005,61,12,11.700000000000001,14,1,23
3726,36,17,15.200000000000001,6,5,30
4967,46,6,71.7,7,1,144
5615,70,33,88.4,27,1,178
5423,36,0,38.1,4,2,77
2715,52,8,43.0,13,2,88
5158,41,6,73.9,14,4,285
5705,32,2,35.4,11,1,69
1598,40,6,10.4,8,2,20
2838,26,0,15.100000000000001,9,6,31
2660,54,26,75.9,33,3,480
2693,45,10,73.4,11,3,819
5075,53,3,59.300000000000004,32,1,121
1864,32,10,23.200000000000003,3,2,46
3102,41,5,24.400000000000002,19,1,49
363,45,22,34.0,21,3,69
2637,27,7,15.0,4,1,30
365,42,5,27.400000000000002,9,1,55
1216,36,13,41.900000000000006,7,3,85
466,46,26,43.300000000000004,24,1,84
2153,24,4,10.5,0,1,21
3756,45,2,35.1,21,4,71
4535,56,26,10.0,0,2,20
5387,26,1,8.5,1,3,17
948,59,22,82.5,31,2,164
3469,34,6,15.9,3,2,32
316,26,2,9.1,2,1,18
3979,30,2,9.0,0,3,18
2785,41,15,32.800000000000004,18,5,67
3031,39,19,10.5,4,5,20
4807,34,0,14.5,1,3,29
348,49,0,23.5,12,2,43
1534,66,11,20.700000000000003,18,2,40
1793,56,12,67.2,19,1,134
4523,57,23,84.4,40,2,170
2042,42,20,16.400000000000002,13,4,32
5660,66,41,29.700000000000003,3,2,59
2523,40,20,29.8,13,1,59
1376,50,22,29.5,4,1,58
3615,33,7,12.4,6,3,24
1715,36,2,23.900000000000002,6,4,49
2130,33,4,16.1,4,5,32
2773,54,31,65.7,26,4,133
1611,43,5,24.200000000000003,4,1,47
2667,50,14,39.5,24,6,80
4226,62,11,6.1000000000000005,10,2,12
3054,63,38,12.3,11,4,24
3556,40,10,72.6,16,1,239
5677,33,3,49.7,12,1,99
3257,49,0,20.5,2,1,43
3567,49,8,19.700000000000003,12,3,40
829,44,2,66.7,4,2,132
2323,44,4,16.3,4,1,33
3978,59,13,26.5,24,1,53
1919,29,3,27.3,4,3,55
874,30,9,17.0,9,3,34
3340,67,16,5.0,2,2,10
1278,35,14,17.400000000000002,4,1,35
4868,48,29,92.7,24,2,184
3275,25,0,13.0,6,5,26
5039,22,3,6.800000000000001,1,1,14
1449,66,10,9.5,4,3,19
3705,34,8,9.5,0,3,19
5583,34,8,12.3,2,4,24
2364,32,13,25.200000000000003,5,1,51
3762,29,9,47.900000000000006,5,5,92
3572,30,0,24.400000000000002,10,4,48
3547,51,21,30.700000000000003,22,3,60
2669,49,21,17.1,5,5,34
4636,47,23,22.400000000000002,13,1,43
2107,51,12,54.800000000000004,14,3,110
1587,39,13,52.300000000000004,16,1,106
203,25,6,15.600000000000001,0,4,32
4629,31,11,11.700000000000001,8,1,24
3891,59,4,56.6,21,4,115
1218,47,6,28.1,17,6,56
3019,31,11,36.5,6,1,71
520,49,26,27.1,3,3,53
5700,57,20,13.700000000000001,12,1,28
601,43,0,28.400000000000002,3,1,56
3253,56,28,71.3,31,1,142
4385,29,7,16.8,1,4,33
5215,34,7,11.600000000000001,7,3,23
3483,32,0,17.1,5,1,34
4120,19,0,18.7,0,5,40
2854,55,9,56.400000000000006,16,1,110
2355,33,11,22.6,2,4,46
5457,59,8,19.8,12,2,41
3431,45,25,24.5,9,2,48
50,19,0,10.0,0,6,20
4060,36,12,19.1,12,2,40
1766,41,17,24.8,6,1,50
15,27,2,17.8,2,2,36
1871,31,2,15.100000000000001,3,4,30
1051,37,12,55.5,10,1,108
2578,24,1,8.4,0,3,17
1668,18,0,6.9,0,5,14
3706,39,7,12.600000000000001,3,1,24
2175,32,8,28.1,5,2,55
4567,23,3,27.1,6,3,54
5684,38,5,27.700000000000003,18,4,57
2887,59,20,69.2,4,1,138
4092,61,26,70.5,30,1,217
427,65,37,21.6,38,2,44
1323,46,21,12.600000000000001,13,1,25
5160,40,0,16.7,3,3,33
2225,42,5,30.400000000000002,3,4,62
2183,38,14,16.2,10,1,32
4604,41,17,67.10000000000001,9,3,134
5265,31,10,20.0,0,4,39
3413,55,6,11.3,2,1,23
2240,34,2,17.7,8,5,35
1798,26,7,10.8,2,4,21
2762,19,0,7.800000000000001,0,5,16
550,42,21,13.0,10,1,26
4737,33,13,11.9,5,4,23
111,29,9,24.5,10,4,52
3753,43,16,81.3,19,2,233
929,33,9,51.1,6,1,99
3297,31,11,13.3,8,4,27
843,58,6,27.0,8,1,53
498,58,7,12.8,32,2,26
5057,31,1,10.5,0,3,22
1914,49,25,23.5,0,3,47
564,55,1,17.3,4,4,34
1386,32,1,16.5,3,2,33
2148,55,13,83.2,25,2,167
5286,24,4,15.200000000000001,0,1,31
5150,34,8,18.400000000000002,0,2,37
56,22,0,13.100000000000001,0,4,26
502,29,10,42.2,8,4,85
3991,28,1,27.6,2,1,56
1647,40,17,40.800000000000004,6,4,81
4873,60,35,25.200000000000003,35,2,50
1018,30,10,6.6000000000000005,6,2,13
2376,32,12,9.4,7,4,19
2600,52,26,84.30000000000001,12,2,169
5010,33,11,16.3,5,4,33
3738,51,17,35.6,15,1,70
3733,40,18,63.300000000000004,23,1,128
2158,53,34,78.1,31,2,609
3178,41,17,27.6,20,2,54
306,47,12,55.900000000000006,20,2,112
173,41,6,55.0,15,5,110
1162,38,2,32.4,3,4,64
549,33,3,17.400000000000002,14,1,35
640,38,18,15.8,0,5,31
5026,66,46,52.400000000000006,39,2,103
2268,43,10,55.6,20,2,112
3394,30,5,9.1,0,4,18
4549,18,0,13.100000000000001,0,1,26
4788,39,16,15.0,5,1,30
2295,35,4,19.0,7,1,38
4790,60,27,79.2,38,3,465
1512,49,25,51.6,1,1,102
233,33,0,20.200000000000003,6,1,41
80,29,6,17.3,0,1,35
4985,44,2,40.800000000000004,19,3,85
152,69,44,76.6,30,1,318
3327,53,21,41.7,17,1,82
3249,44,24,11.9,1,2,25
3392,29,2,12.5,10,2,25
5234,35,8,27.5,6,1,57
4026,52,23,14.200000000000001,3,1,29
2925,42,5,15.0,5,2,30
666,25,4,28.400000000000002,2,1,59
2949,66,32,78.1,30,1,202
2478,57,28,45.5,25,4,92
2657,38,6,16.3,4,4,34
3461,53,3,25.200000000000003,13,1,52
4306,28,9,11.9,1,6,25
3381,55,0,13.700000000000001,3,1,27
3234,55,19,22.1,12,2,45
4880,56,22,49.300000000000004,17,1,99
2964,64,40,6.1000000000000005,18,2,12
2395,40,19,14.200000000000001,3,4,29
3244,71,23,22.200000000000003,6,2,44
5544,33,2,90.30000000000001,1,1,180
3426,28,3,12.5,1,2,25
1967,46,19,23.200000000000003,10,1,45
1270,28,1,19.400000000000002,5,1,39
4866,43,6,49.400000000000006,1,1,101
5284,50,31,17.400000000000002,11,1,35
1326,41,7,58.900000000000006,17,4,117
446,60,3,38.400000000000006,30,1,75
2869,40,17,38.1,15,1,73
3981,41,19,80.5,20,2,160
3897,33,5,23.200000000000003,2,1,46
761,37,1,12.4,9,1,25
4338,33,1,16.1,4,1,32
2521,27,3,17.3,1,1,34
2435,57,34,17.3,12,2,34
3452,67,10,39.5,36,2,80
2162,28,8,28.900000000000002,1,5,58
4430,43,7,20.5,5,4,40
786,49,28,49.2,22,2,101
